Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,,98 - Timber Packet,2500/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,3150/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,4000/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,5000/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,1000/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,1250/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,1600/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,2000/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,2500/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,3150/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,4000/33/690 EU,1,,,,,
,,no,,98 - Timber Packet,1000/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,1250/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,1600/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,2000/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,2500/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,3150/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,4000/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,5000/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,50/33/400,1,,,,,
,,no,,99 - Assembly Insulation Packet,100/33/400  EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,160/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,250/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,400/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,630/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,800/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1000/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1250/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1600/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2000/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2500/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,3150/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,4000/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,5000/33/400 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,100/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,160/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,250/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,400/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,630/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,800/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,1000/33/415 Ph2,1,,,,,
,,no,,99 - Assembly Insulation Packet,1000/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1250/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1600/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2000/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2500/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,3150/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,4000/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,5000/33/415 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1000/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1250/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1600/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2000/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2500/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,3150/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,4000/33/690 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1000/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1250/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,1600/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2000/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,2500/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,3150/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,4000/33/800 EU,1,,,,,
,,no,,99 - Assembly Insulation Packet,5000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),50/33/400,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),100/33/400  EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),160/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),250/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),400/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),630/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),800/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),5000/33/400 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),100/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),160/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),250/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),400/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),630/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),800/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/415 Ph2,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),5000/33/415 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/690 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1250/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),1600/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),2500/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),3150/33/800 EU,1,,,,,
